50 9251 9251
1 536 765.0 134.0
1 537 770.0 135.0
1 538 775.0 136.0
1 539 247.0 143.0
1 540 250.0 145.0
1 541 689.0 144.0
1 542 692.0 144.0
1 543 695.0 146.0
1 544 713.0 144.0
1 545 705.0 146.0
1 546 724.0 143.0
1 547 770.0 144.0
1 548 767.0 145.0
1 549 970.0 143.0
1 550 975.0 143.0
1 551 255.0 153.0
1 552 244.0 156.0
1 553 254.0 156.0
1 554 269.0 156.0
1 555 364.0 153.0
1 556 366.0 154.0
1 557 364.0 155.0
1 558 443.0 155.0
1 559 567.0 153.0
1 560 563.0 154.0
1 561 690.0 154.0
1 562 711.0 155.0
1 563 815.0 156.0
1 564 826.0 154.0
1 565 972.0 153.0
1 566 249.0 164.0
1 567 252.0 166.0
1 568 356.0 163.0
1 569 356.0 166.0
1 570 474.0 163.0
1 571 471.0 165.0
1 572 569.0 166.0
1 573 967.0 166.0
1 574 1149.0 163.0
1 575 249.0 174.0
1 576 253.0 176.0
1 577 253.0 185.0
1 578 663.0 186.0
1 579 669.0 186.0
1 580 696.0 186.0
1 581 72.0 196.0
1 582 306.0 193.0
1 583 306.0 195.0
1 584 310.0 195.0
1 585 463.0 195.0
1 586 535.0 196.0
1 587 547.0 194.0
1 588 553.0 195.0
1 589 569.0 195.0
1 590 567.0 196.0
1 591 572.0 196.0
1 592 666.0 193.0
1 593 673.0 193.0
1 594 74.0 205.0
1 595 443.0 204.0
1 596 465.0 203.0
1 597 466.0 206.0
1 598 556.0 206.0
1 599 653.0 203.0
1 600 656.0 203.0
1 601 752.0 206.0
1 602 147.0 216.0
1 603 168.0 216.0
1 604 545.0 215.0
1 605 615.0 214.0
1 606 631.0 214.0
1 607 654.0 213.0
1 608 644.0 214.0
1 609 686.0 214.0
1 610 253.0 224.0
1 611 269.0 226.0
1 612 336.0 224.0
1 613 323.0 225.0
1 614 454.0 223.0
1 615 455.0 225.0
1 616 465.0 224.0
1 617 515.0 226.0
1 618 531.0 226.0
1 619 676.0 226.0
1 620 683.0 224.0
1 621 686.0 224.0
1 622 690.0 226.0
1 623 711.0 225.0
1 624 755.0 225.0
1 625 855.0 225.0
1 626 1034.0 223.0
1 627 256.0 234.0
1 628 527.0 235.0
1 629 855.0 233.0
1 630 867.0 236.0
1 631 892.0 235.0
1 632 1006.0 234.0
1 633 313.0 243.0
1 634 333.0 245.0
1 635 530.0 244.0
1 636 694.0 243.0
1 637 714.0 243.0
1 638 776.0 246.0
1 639 856.0 246.0
1 640 209.0 256.0
1 641 211.0 256.0
1 642 292.0 254.0
1 643 312.0 253.0
1 644 636.0 255.0
1 645 655.0 256.0
1 646 671.0 253.0
1 647 668.0 255.0
1 648 148.0 263.0
1 649 211.0 266.0
1 650 235.0 266.0
1 651 244.0 266.0
1 652 296.0 264.0
1 653 634.0 263.0
1 654 694.0 263.0
1 655 813.0 266.0
1 656 816.0 266.0
1 657 903.0 266.0
1 658 174.0 275.0
1 659 187.0 274.0
1 660 191.0 274.0
1 661 196.0 274.0
1 662 194.0 276.0
1 663 247.0 273.0
1 664 308.0 274.0
1 665 670.0 274.0
1 666 704.0 275.0
1 667 730.0 274.0
1 668 115.0 283.0
1 669 156.0 285.0
1 670 1066.0 293.0
1 671 593.0 304.0
1 672 466.0 313.0
2 673 945.0 3.0
2 674 943.0 4.0
2 675 674.0 14.0
2 676 665.0 15.0
2 677 667.0 16.0
2 678 684.0 14.0
2 679 713.0 14.0
2 680 748.0 13.0
2 681 813.0 16.0
2 682 674.0 23.0
2 683 663.0 24.0
2 684 665.0 26.0
2 685 683.0 26.0
2 686 685.0 26.0
2 687 712.0 23.0
2 688 715.0 25.0
2 689 711.0 26.0
2 690 713.0 26.0
2 691 751.0 24.0
2 692 776.0 26.0
2 693 783.0 26.0
2 694 813.0 25.0
2 695 843.0 24.0
2 696 846.0 26.0
2 697 872.0 24.0
2 698 905.0 23.0
2 699 1090.0 25.0
2 700 268.0 36.0
2 701 312.0 34.0
2 702 687.0 34.0
2 703 686.0 36.0
2 704 712.0 34.0
2 705 716.0 36.0
2 706 748.0 33.0
2 707 747.0 36.0
2 708 783.0 34.0
2 709 813.0 34.0
2 710 811.0 36.0
2 711 824.0 36.0
2 712 829.0 36.0
2 713 834.0 36.0
2 714 866.0 34.0
2 715 863.0 36.0
2 716 1089.0 36.0
2 717 263.0 43.0
2 718 275.0 43.0
2 719 665.0 43.0
2 720 665.0 46.0
2 721 689.0 43.0
2 722 694.0 43.0
2 723 686.0 44.0
2 724 693.0 45.0
2 725 688.0 46.0
2 726 708.0 43.0
2 727 703.0 45.0
2 728 708.0 45.0
2 729 710.0 45.0
2 730 725.0 46.0
2 731 728.0 46.0
2 732 733.0 46.0
2 733 748.0 43.0
2 734 746.0 45.0
2 735 769.0 43.0
2 736 775.0 43.0
2 737 763.0 45.0
2 738 771.0 45.0
2 739 787.0 43.0
2 740 790.0 45.0
2 741 795.0 45.0
2 742 816.0 43.0
2 743 811.0 44.0
2 744 823.0 43.0
2 745 951.0 43.0
2 746 250.0 54.0
2 747 251.0 56.0
2 748 253.0 56.0
2 749 256.0 56.0
2 750 275.0 53.0
2 751 276.0 56.0
2 752 694.0 55.0
2 753 704.0 54.0
2 754 712.0 56.0
2 755 734.0 53.0
2 756 724.0 54.0
2 757 728.0 54.0
2 758 751.0 53.0
2 759 753.0 55.0
2 760 748.0 56.0
2 761 773.0 53.0
2 762 763.0 56.0
2 763 770.0 56.0
2 764 784.0 54.0
2 765 796.0 55.0
2 766 784.0 56.0
2 767 875.0 56.0
2 768 1006.0 54.0
2 769 1046.0 56.0
2 770 1050.0 56.0
2 771 123.0 63.0
2 772 163.0 63.0
2 773 252.0 63.0
2 774 247.0 65.0
2 775 250.0 65.0
2 776 287.0 63.0
2 777 289.0 65.0
2 778 683.0 65.0
2 779 712.0 64.0
2 780 715.0 66.0
2 781 749.0 65.0
2 782 154.0 74.0
2 783 244.0 73.0
2 784 247.0 74.0
2 785 243.0 75.0
2 786 252.0 76.0
2 787 275.0 73.0
2 788 287.0 75.0
2 789 688.0 75.0
2 790 712.0 75.0
2 791 736.0 76.0
2 792 751.0 76.0
2 793 987.0 73.0
2 794 123.0 85.0
2 795 267.0 83.0
2 796 689.0 83.0
2 797 688.0 85.0
2 798 715.0 84.0
2 799 751.0 85.0
2 800 263.0 94.0
2 801 288.0 95.0
2 802 683.0 95.0
2 803 690.0 95.0
2 804 693.0 95.0
2 805 713.0 95.0
2 806 723.0 94.0
2 807 728.0 94.0
2 808 731.0 94.0
2 809 734.0 95.0
2 810 754.0 94.0
2 811 752.0 96.0
2 812 536.0 103.0
2 813 554.0 104.0
2 814 552.0 106.0
2 815 564.0 103.0
2 816 685.0 103.0
2 817 823.0 103.0
2 818 684.0 113.0
2 819 693.0 113.0
2 820 710.0 115.0
2 821 716.0 115.0
2 822 729.0 113.0
2 823 732.0 115.0
2 824 1031.0 114.0
2 825 233.0 125.0
2 826 224.0 126.0
2 827 236.0 126.0
2 828 247.0 123.0
2 829 476.0 123.0
2 830 684.0 124.0
2 831 694.0 125.0
2 832 696.0 126.0
2 833 216.0 136.0
2 834 230.0 133.0
2 835 563.0 134.0
2 836 692.0 133.0
2 837 696.0 133.0
2 838 686.0 134.0
2 839 685.0 136.0
2 840 716.0 133.0
